id,type,name,adaptations,area,description,diet,height,impact,lifespan,name,participants,scientificName,soilMoisture,status,strength,type,waterRequirement
saguaro,plant,Saguaro Cactus,"[""Accordion-like pleats expand when absorbing water"",""Extensive shallow root system"",""Thick waxy coating to reduce water loss"",""Slow growth to conserve energy"",""CAM photosynthesis for water conservation""]",,Iconic columnar cactus with arm-like branches.,,1200,,,,,Carnegiea gigantea,,,,,very low
barrel_cactus,plant,Barrel Cactus,"[""Ribbed structure allows expansion during water absorption"",""Thick waxy coating to reduce evaporation"",""Spines create microclimate of shade"",""Can survive extremely high temperatures""]",,Cylindrical-shaped cactus known for tilting toward the sun.,,150,,,,,Ferocactus wislizeni,,,,,very low
mesquite,plant,Honey Mesquite,"[""Extremely deep taproots can reach 50m below surface"",""Small leaves reduce water loss"",""Drought deciduous - can shed leaves during extreme drought"",""Nitrogen fixing ability improves soil quality""]",,Deciduous tree with deep roots that can access groundwater.,,900,,,,,Prosopis glandulosa,,,,,low
creosote_bush,plant,Creosote Bush,"[""Resinous coating on leaves prevents water loss"",""Toxins in soil prevent other plants from growing nearby (allelopathy)"",""Small leaves reduce surface area for evaporation"",""Can survive with just 75mm of annual rainfall""]",,"One of the most drought-tolerant plants, can live over 10,000 years.",,300,,,,,Larrea tridentata,,,,,very low
desert_poppy,plant,Desert Poppy,"[""Seeds can remain dormant for years until rainfall"",""Quick lifecycle to complete before drought returns"",""Deep taproots to access underground moisture"",""Waxy leaf coating to reduce evaporation""]",,Annual wildflower that blooms spectacularly after rains.,,30,,,,,Eschscholzia glyptosperma,,,,,low
ocotillo,plant,Ocotillo,"[""Drought deciduous - drops leaves during dry periods"",""Grows leaves quickly after rain"",""Deep tap root"",""Waxy coating on stems"",""Thorns for protection""]",,Spindly desert plant with bright red flowers.,,500,,,,,Fouquieria splendens,,,,,low
brittlebush,plant,Brittlebush,"[""Resinous sap seals wounds to prevent water loss"",""Light-colored leaves reflect sunlight"",""Dense leaf hairs (trichomes) reduce water loss"",""Seasonal leaf drop during extreme drought"",""Quick response to rainfall with new growth""]",,Common desert shrub with silvery leaves and yellow flowers.,,150,,,,,Encelia farinosa,,,,,very low
desert_ironwood,plant,Desert Ironwood,"[""Nitrogen fixing capability improves soil"",""Extremely deep root system"",""Small, drought-deciduous leaves"",""Dense wood stores water"",""Provides \""nurse plant\"" habitat for other species""]",,"Long-lived desert tree with extremely dense wood, can live 800+ years.",,1000,,,,,Olneya tesota,,,,,low
agave,plant,Century Plant,"[""CAM photosynthesis to conserve water"",""Thick, waxy leaves reduce water loss"",""Rosette form channels water to central root"",""Fibrous leaf structure for structural support"",""Monocarpic lifecycle (flowers once then dies)""]",,Large succulent that flowers once at the end of its life.,,200,,,,,Agave americana,,,,,very low
joshua_tree,plant,Joshua Tree,"[""Extensive shallow root system"",""Thick, moisture-retaining trunk"",""Waxy, spine-tipped leaves reduce water loss"",""Specialized pollination relationship with yucca moth"",""Slow growth rate conserves resources""]",,Iconic tree-like yucca of the Mojave Desert with unique appearance.,,1200,,,,,Yucca brevifolia,,,,,low
prickly_pear,plant,Prickly Pear Cactus,"[""Flat pads maximize photosynthesis while minimizing surface area"",""Waxy coating reduces water loss"",""Shallow, extensive root system"",""Spines protect from herbivores and provide shade""]",,Flat-padded cacti with colorful fruits and sharp spines.,,200,,,,,Opuntia spp.,,,,,very low
cholla_cactus,plant,Cholla Cactus,"[""Segmented structure allows for vegetative reproduction"",""Dense, barbed spines deter predation"",""Water storage in stem segments"",""Shallow but extensive root system""]",,Known for detachable barbed spines that easily attach to passersby.,,300,,,,,Cylindropuntia spp.,,,,,very low
other_plants,plant,Various Desert Plants,"[""Various drought adaptations"",""Seasonal growth patterns"",""Seed dormancy during dry periods""]",,Collection of various smaller desert plants and grasses,,,,,,,,,,,,low to moderate
heat,climate,Extreme Heat,,,Daytime temperatures regularly exceeding 40°C (104°F) in summer.,,,extreme,,,,,,,,,
temperature_variation,climate,Temperature Variation,,,"Large daily temperature fluctuations, often exceeding 20°C between day and night.",,,high,,,,,,,,,
aridity,climate,Aridity,,,"Low precipitation, typically less than 250mm annually, with high evaporation rates.",,,extreme,,,,,,,,,
sand_dunes,geological,Sand Dunes,,,Mounds of windblown sand that can move and shift over time.,,,high,,,,,,,,,
rocky_outcrops,geological,Rocky Outcrops,,,Exposed rock formations that provide shade and shelter.,,,medium,,,,,,,,,
oasis,water,Oasis,,,"Isolated water source surrounded by desert, often fed by underground springs.",,,high,,,,,,,,,
ephemeral_streams,water,Ephemeral Streams,,,Temporary waterways that flow only after rainfall events.,,,medium,,,,,,,,,
sandy_soil,soil,Sandy Soil,,,Coarse-grained soil with poor water retention but good drainage.,,,high,,,,,,,,,
desert_pavement,geological,Desert Pavement,,,"Dense layer of pebbles and rocks at the surface, formed by wind removing fine particles.",,,high,,,,,,,,,
desert_varnish,geological,Desert Varnish,,,"Dark coating on exposed rock surfaces, composed of clay minerals with iron and manganese oxides.",,,low,,,,,,,,,
playa,geological,Playa,,,"Flat, dry lake bed that occasionally floods after heavy rain.",,,medium,,,,,,,,,
flash_floods,water,Flash Floods,,,"Sudden, intense flooding events often occurring in desert washes after heavy rainfall.",,,extreme,,,,,,,,,
wash,seasonal_wetland,Desert Wash,,variable,"Dry streambed that carries water only after rainfall, often with distinct vegetation.",,,,,,,,higher than surroundings,,,,
dune_field,aeolian,Sand Dune Field,,large,Area of wind-deposited sand formations with specialized plant and animal communities.,,,,,,,,extremely low,,,,
rocky_slope,lithic,Rocky Slope,,medium,"Elevated area with exposed bedrock and boulders, providing shade and shelter.",,,,,,,,very low,,,,
canyon,erosional,Desert Canyon,,variable,"Deep, narrow channel with steep walls, often with increased moisture and biodiversity.",,,,,,,,variable,,,,
pollination_yucca,mutualism,Yucca-Moth Pollination,,,Specialized mutualistic relationship between yucca plants and yucca moths.,,,,,,"[""joshua_tree"",""yucca_moth""]",,,,obligate,,
nurse_plant,commensalism,Nurse Plant Relationship,,,Protection of seedlings by established desert plants providing shade and improved soil.,,,,,,"[""desert_ironwood"",""saguaro""]",,,,facultative,,
seed_dispersal,mutualism,Seed Dispersal,,,"Movement of plant seeds by desert animals, aiding plant reproduction and distribution.",,,,,,"[""mesquite"",""coyote""]",,,,facultative,,
yucca_moth,animal,Yucca Moth,"[""Specialized mouthparts for collecting pollen"",""Ovipositor for laying eggs in yucca flowers"",""Lifecycle synchronized with yucca flowering"",""Larvae feed only on some yucca seeds, preserving others""]",,Small moth with specialized relationship with Joshua trees and other yuccas.,herbivore,,,0.5,,,Tegeticula yuccasella,,least concern,,,
coyote,animal,Coyote,"[""Can survive on minimal water obtained from prey"",""Opportunistic feeding habits"",""Highly adaptable to different habitats"",""Active during cooler parts of day"",""Efficient predator of small desert mammals""]",,Adaptable canid found throughout North American deserts and beyond.,omnivore,,,14,,,Canis latrans,,least concern,,,
